SizeRank,StateName,Avg_House_Price,year,month,import_of_goods,export_of_goods,gdp_of_goods,Real_PerCap,house_ownership,PPI_Lumber_of_goods,CPI_of_goods,NASDAQ_Index,Fed_Interest_Rate,PPI_ALL_Index,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,Adults 65+,MORTGAGE,population
32.0,KS,123019.0,2008,2.0,880.3,1200.5,147756.9,51282.0,68.8,161.9,212.687,2325.8255,2.98,182.7,0.265,0.097,0.117,0.28,0.112,0.128,5.9175,2808076
25.0,KY,117197.0,2008,2.0,2435.0,1701.6,188247.3,41032.0,72.8,161.9,212.687,2325.8255,2.98,182.7,0.251,0.084,0.119,0.297,0.12,0.129,5.9175,4289878
24.0,LA,153062.0,2008,2.0,6915.0,4013.7,232582.2,47048.0,73.5,161.9,212.687,2325.8255,2.98,182.7,0.269,0.101,0.115,0.28,0.116,0.12,5.9175,4435586
13.0,MA,352178.0,2008,2.0,2499.4,2408.7,450163.5,54461.0,65.7,161.9,212.687,2325.8255,2.98,182.7,0.238,0.091,0.116,0.309,0.118,0.129,5.9175,6468967
18.0,MD,344578.0,2008,2.0,1486.1,880.3,337666.4,50561.0,70.6,161.9,212.687,2325.8255,2.98,182.7,0.254,0.091,0.113,0.305,0.116,0.121,5.9175,5684965
40.0,ME,213219.0,2008,2.0,344.7,240.0,60381.5,42076.0,73.9,161.9,212.687,2325.8255,2.98,182.7,0.223,0.075,0.1,0.317,0.136,0.151,5.9175,1330509
7.0,MI,139056.0,2008,2.0,8613.1,3611.9,467558.9,41948.0,75.9,161.9,212.687,2325.8255,2.98,182.7,0.257,0.09,0.111,0.296,0.119,0.128,5.9175,9946889
20.0,MN,215643.0,2008,2.0,2477.7,1435.3,310307.7,49860.0,73.1,161.9,212.687,2325.8255,2.98,182.7,0.255,0.093,0.118,0.301,0.114,0.119,5.9175,5247018
17.0,MO,140409.0,2008,2.0,1094.5,936.7,295021.9,47099.0,71.4,161.9,212.687,2325.8255,2.98,182.7,0.255,0.093,0.117,0.287,0.117,0.133,5.9175,5923916
30.0,MS,116303.0,2008,2.0,1361.4,494.8,109873.6,39184.0,75.4,161.9,212.687,2325.8255,2.98,182.7,0.281,0.095,0.112,0.277,0.112,0.123,5.9175,2947806
43.0,MT,216210.0,2008,2.0,532.5,106.6,42475.5,42420.0,70.3,161.9,212.687,2325.8255,2.98,182.7,0.256,0.095,0.106,0.279,0.127,0.137,5.9175,976415
9.0,NC,174101.0,2008,2.0,4108.9,2020.5,495030.3,45877.0,69.4,161.9,212.687,2325.8255,2.98,182.7,0.261,0.085,0.119,0.295,0.117,0.123,5.9175,9309449
47.0,ND,166077.0,2008,2.0,243.9,268.1,34535.4,53507.0,66.6,161.9,212.687,2325.8255,2.98,182.7,0.235,0.12,0.115,0.265,0.128,0.137,5.9175,657569
37.0,NE,127302.0,2008,2.0,275.9,448.4,100655.9,50465.0,69.6,161.9,212.687,2325.8255,2.98,182.7,0.272,0.092,0.118,0.278,0.111,0.128,5.9175,1796378
